      1  
      
1 |
      1 1995
      1 58 Plymouth Fury
      1 60
      1 Alan Bunce
      1 Alan Carney
      1 Alan Coeberge
      1 Alan Cuthbertson
      1 Alan Danziger
      1 Alan Delon
      1 Alan Devlin
      1 Alan Dobie
      1 Alan Drummond
      1 Alan Feinstein
      1 Alan Freed
      1 Alan Fudge
      1 Alan Garfield
      1 Alan hewitt
      1 Alan Howard
      1 Alan McNaughton
      1 Alanna Ubach
      1 Alan north
      1 Alan North
      1 Alan Price
      1 Alan Rein
      1 Alan Scarfe
      1 Alan S. Craig
      1 Alan Stock
      1 Alan Wendl
      1 Alastair Simms
      1 Alastair Williamson
      1 Albert Bitterling
      1 Albert Cavers
      1 Albert Conti
      1 Albert Henderson
      1 Albert Lieu
      1 Alberto A. Capozzi
      1 Alberto Benegas
      1 Alberto Nepoti
      1 Alberto Soldi
      1 Albert Paulsen
      1 Albert R\`emy
      1 Albert Roccardi
      1 Albert Steinr\"uck
      1 Albert Steinruck
      1 Albrecht Bras
      1 Al Carmines
      1 Al Cliver
      1 Al dAmato
      1 Aldo Fabrizi
      1 Aldo Maccione
      1 Aldo Parodi
      1 Aldo Puglisi
      1 Aldo Rey
      1 Aldo Zollo
      1 Al Dubin
      1 Alec B. Francis
      1 Alec. B. Francis
      1 Alec Clunes
      1 Alec Mccowen
      1 Alec Nicol
      1 Aleka Catselli
      1 Alekos Alexandrakis
      1 Aleksandr Antonov
      1 Aleksandra Slaska
      1 Alen McCowen
      1 Alessandro Blasetti
      1 Alessandro Gasman
      1 Alexa Kenin
      1 Alex Alan Morris
      1 Alexander dArcy
      1 Alexander Gauge
      1 Alexander Godonov
      1 Alexander Godunov
      1 Alexander Kirkland
      1 Alexander Pope
      1 Alexander Scoursby
      1 Alexander Wolcott
      1 Alexander X
      1 Alexander Zale
      1 Alexandra Bastedo
      1 Alexandra Cassavetas
      1 Alexandra Duah
      1 Alexandra London
      1 Alexandra Martinez
      1 Alexandra Rohmig
      1 Alexandra Schmitt
      1 Alexandra Wentworth
      1 Alexandre Lazarev
      1 Alexandro Jodorowsky
      1 Alex Bank
      1 Alex Casanovas
      1 Alex Craig
      1 Alex Davion
      1 Alexei Batalov
      1 Alex HydeWhite
      1 Alexia Keogh
      1 Alexis
      1 Alex Jennings
      1 Alex  Lynn
      1 Alex McCrindle\Und
      1 Alex Nicol
      1 Alex Rebar
      1 Alex VanWarmerdam
      1 Alex Winter
      1 Alfalfa Switzer
      1 Al Fann
      1 Al Ferguson
      1 Alfie Wise
      1 Alfons Haider
      1 Alfonso Bedaya
      1 Alfonso Bedoya
      1 Alfonso Cassini
      1 Al Franken
      1 Alfred Burke
      1 Alfred Edel
      1 Alfred Grosser
      1 Alfred Hickman
      1 Alfred Linder
      1 Alfred Lunt
      1 Alfred Lutter
      1 Alfred Molins
      1 Alfredo DeAntoni
      1 Alfredo Kraus
      1 Alfredo Varelli
      1 Al Freeman~jr.
      1  Alfre Wooodard
      1 Al Hedison
      1 Al Hodge
      1 Alice Backer
      1 Alice Cooper
      1 Alice Dabo
      1 Alice Drummond
      1 Alice Ehlers
      1 Alice Frost
      1 Alice Hollister
      1 Alice Houri
      1 Alice Joyceinnocent girl, left behind
      1 Alice Nunn
      1 Alice Roberts
      1 Alicia Witt
      1 Alid Robida
      1 Ali McGraw
      1 Aline Dunbar
      1 Aline Towne
      1 Alisan Porter
      1 Alison Doody
      1 Alison Elliott
      1 Alison Kraus
      1 Alison Leggatt
      1 Alison Rutledge
      1 Alive Faye
      1 Alix Elias
      1 Alizia Gur
      1 Al Karth
      1 Alla Donnell
      1 Allan Baxter
      1 Allan Cox
      1 Allan Cuthbertson
      1 Allan Edwall
      1 Allan Garcia
      1 Allan Garfield
      1 Allan Hale
      1 Allan Hubbard
      1 Allan Lane
      1 Allan Payne
      1 Allan Wolfe
      1 Allen Boyd
      1 Allen Corduner
      1 Allen Jones
      1 Allen Paynel
      1 Allessandro Gassman
      1 Allison Dean
      1 Allison Jones
      1 Allison Skipworth
      1 Ally Walker
      1 Alma Bennet
      1 Alma Lloyd
      1 Alma Rubens
      1 Al Mathews
      1 Almira Sessions
      1 Aloce Ghostley
      1 Alok Charavarty
      1 Alonzo Price
      1 Alphonsia Emmanuel
      1 Al Ruscio
      1 Al Shean
      1 Alun Armstrong
      1 Alun Lewis
      1 Alvy moore
      1 Al Waxman
      1 Alwin Nikolais
      1 Alwyn Kurts
      1 Alyson Spiro
      1 Amadeus Fengler
      1 Amanda Barrie
      1 Amanda Blake
      1 Amanda Duff
      1 Amanda Pays
      1 Amber Collins
      1 Amelda Brown
      1 Amelia Bullmore
      1 Amelia McQueen
      1 Amelia Shankley
      1 Amelita Ward Cowan
      1 Amen Corner
      1 Amidou
      1 Amie Carey
      1 Amina Annabi
      1 Amir Khan
      1 Amit Rao
      1 Amos'n Andy
      1 Amrish Puri
      1 Amy BrandonThomas
      1 Amy Brenneman
      1 Amy Brenneman 
      1 Amy Douglass
      1 Amy Freeman
      1 Amy Hargreaves
      1 Amy Ingersoll
      1 Amy Johnson
      1 Amy Locane
      1 Amy L. Taylor
      1 Amy ONeil
      1 Amy Robinson
      1 Amy Stryker
      1 Amy Wright
      1 Ana Beatriz Nogueira
      1 Ana Esmeralda
      1 Anajanette Comer
      1 Ana Karina
      1 Ana Obregon
      1 Ana Torrent
      1 Anders deWahl
      1 Anders Hove
      1 Anders Johnson
      1 Anders Norberg
      1 Anders Randolph
      1 AndieGregg Edelman
      1 Andie McDowall
      1 Andra Akers
      1 Andras Ambrus
      1 Andras Morton
      1 Andrea Ferreo
      1 Andre Alerme
      1 Andrea Miano
      1 Andrea Naschak
      1 Andrea Occhipinti
      1 Andrea Rau
      1 Andrea Schroeber
      1 Andreas Herder
      1 Andrea Stein
      1 Andreas Voutsina
      1 Andreas Voutsinas
      1 Andre Borzei
      1 Andre Charlot
      1 Andre Deed
      1 Andre Dussolier
      1 Andr\'e Gregory
      1 Andrei Abrikosov
      1 Andrei Abrisokov
      1 Andrei Codrescu
      1 Andrej Chalimon
      1 Andre Luguet
      1 Andr\'e Morell
      1 Andre Previn
      1 Andre Sheron
      1 Andre the Giant
      1 Andre theGiant
      1 Andre Toffel
      1 Andrew Crawford
      1 Andrew Cruikshank
      1 Andrew Dice Clay
      1 Andrew Divoff
      1 Andrew Faulds
      1 Andrew Kier
      1 Andrew Knott
      1 Andrew PIne
      1 Andrew Ray
      1 Andrew Robertson
      1 Andrew Strong
      1 And Romano
      1 Andrzej Lapicki
      1 Andy Armstrong
      1 Andy Braugher Bucher
      1 Andy Clyde
      1 Andy Kaufman
      1 Andy MacDowell
      1 Andy McDowell
      1 Andy Robinson
      1 Andy Romand
      1 Andy Romano
      1 Andy Williams
      1 Aneeta Kanwar
      1 Ane Heche
      1 Aneta Corseau
      1 Aneta Corseaut
      1 Anette Andre
      1 Anette Bening
      1 Anette Benning
      1 Anette J\"unger
      1 Angela Baddeley
      1 Angela Blasi
      1 Angela Clark
      1 Angela Clarke
      1 Angela Dorian
      1 Angela Finocchiaro
      1 Angela Green
      1 Angela Hall
      1 Angela Moya
      1 Angela Paton
      1 Angela Pleasance
      1 Angela Salloker
      1 Angel Avilea
      1 Angela Walsh
      1 Angelina Ball
      1 Angelina Jolie
      1 Angeline Ball
      1 Angelo Evans
      1 Angelo Rossito
      1 Angelo Rossitto 
      1 Angharad Rees
      1 Angie Everhart
      1 Angie Stardust
      1 Anhony Michael Hall
      1 Anil Chatterjee
      1 Anil Kapoor
      1 Anita Bj\"ork
      1 Anita Eckberg
      1 Anita Ekberg 
      1 Anita Garvin
      1 Anita Harris
      1 Anita King
      1 Anita Mancic
      1 Anita Sanders
      1 Anita Skinner
      1 Anja Schmidt
      1 Anja Suli
      1 Anki Liden
      1 Annabella
      1 Annabella Incontrera
      1 AnnaBella Sciorra
      1 Annabelle
      1 Annabelle Price
      1 Annabelle Sciora
      1 Annabel Morley
      1 Anna CalderMarshall
      1 Anna Capri
      1 Anna Ciepielewska
      1 Anna Cromwell
      1 Anna Duperey
      1 Anna Friel
      1 Anna Kaplan
      1 Anna Konstam
      1 Anna Laguna
      1 Anna lee
      1 Annaliese Rothenberger
      1 Anna Little
      1 Anna Louise Hessing
      1 Anna Maria Alberghetti
      1 Anna Maria Horsford
      1 Anna Mears
      1 Anna Moffo
      1 Anna Nicole Smith
      1 Anna Pavane
      1 Anna Pavlova
      1 Anna Perrier
      1 Anna Proclemer
      1 Anna Prucnal
      1 Anna Quayle
      1 Anna Svierkier
      1 Ann Ayars
      1 Ann Bancroft
      1 Ann Baxter
      1 Ann Belek
      1 Ann Carter
      1 Ann D. Sanders
      1 Anne Anderson
      1 Anne baxter
      1 Anne Bowen
      1 Anne Byrne
      1 Anne Carlisle
      1 Anne Carslile
      1 Anne Chevalier
      1 Anne Crawford
      1 Anne Demetrio
      1 Anne deSalvo
      1 Anne DeSalvo
      1 Anne Dyson
      1 Anne Elizabeth Ramsay
      1 Anne Grey
      1 Anne Harding
      1 Anne Hecht
      1  Anne Hecht
      1 Anne Heywood
      1 Anneke Blok
      1 Anneke deBont
      1 Anne Kimbell
      1 Anne Louise Lambert
      1 Annemarie D\"uringer
      1 Anne Marie Johnson
      1 AnneMarie Martin
      1 AnneMarie McDonald
      1 Anne Meacham
      1 Anne Nagel
      1 Anne Poivre
      1 Anne Ramsey
      1 Anne revere
      1 Anne Roussel
      1 Anne Schaefer
      1 Anne seymour
      1 Anne Shoemaker
      1 Ann Esther
      1 Anne Towmey
      1 Annette Crosbie
      1 Annette Kellerman
      1 Annette Stroyberg
      1 Annette Uhlen
      1 Annett Kruschke
      1 Anne Twomey
      1 Anne Verdon
      1 Anne Whitfield
      1 Ann Gardner
      1 Ann Gillis
      1 Ann Gisel Glass
      1 Annibale Betrone
      1 Annibale Ninchi
      1 Annie Corley
      1 Annie Giradot
      1 Annie Golden
      1 Annie Grindley
      1 Annie Lennox
      1 Annie McEnroe
      1 Annie Sprinkle
      1 Anni Shizuka
      1 Ann-Kathrin Kramer
      1 Ann Knight
      1 Ann Little
      1 Ann Magnusson
      1 Ann Meara
      1 Ann Michele
      1 Ann Mitchell
      1 Ann Parillaud
      1 Ann Penningtin
      1 Ann Pennington
      1 Ann Poirot
      1 Ann Ramsey
      1 Ann Rebbot
      1 Ann Ruymen
      1 Ann Savage
      1 Ann Stanton
      1 Ann Woodsworth
      1 Anny Romand
      1 Ann Zarno
      1 Anouska Hempel
      1 Anthonu Pozzini
      1 Anthony Ainley
      1 Anthony Allan
      1 Anthony Baird
      1 Anthony Barille
      1 Anthony Barrile
      1 Anthony Bushnell
      1 Anthony Carbone
      1 Anthony caruso
      1 Anthony deLonghis
      1 Anthony Dexter
      1 Anthony Dowall
      1 Anthony Durbee
      1 Anthony Huston
      1 Anthony James
      1 Anthony LaPagia
      1 Anthony Newlands
      1 Anthony Rapp
      1 Anthony Ray
      1 Anthony Scherbe
      1 Anthony Sharp
      1 Anthony Staker
      1 Anthony Steel
      1 Anthony Steele
      1 Anthony Teague
      1 Anthony Wager
      1 Antionio Pierfrederici
      1 Antoinette Celier
      1 Antonella Lualdi
      1 Antonella Ponziani
      1 Antonella Vitale
      1 Antonelli Attile
      1 Anton Glanzelius
      1 Antonia Brough
      1 Antonia Minelli
      1 Antonia SanJuan
      1 Antonin StahlyVishwanathan
      1 Antonio Banderos
      1 Antonio Gades
      1 Antonio VFargas
      1 Antonio Vilar
      1 Anton Rogers
      1 Antony Sher
      1 Anu Arya Aggarwal
      1 Anulka Dziubinska
      1 Anulka Morris
      1 Anwar
      1 Aparna Das Gupta
      1 Apollonia
      1 April Kent
      1 Apul deLondres
      1 Arcadia T.
      1 Arch Hall~jr
      1 Archie Hahn
      1 Archie Moore
      1 Archie Savage
      1 Arden Smith
      1 Arend-Andre van Noord
      1 Argentina Brunetti
      1 Arhur Hole
      1 Ariana Richards
      1 Aribert Mog
      1 Arielle Dombasle
      1 Ari Megro
      1 Ariyan Johnson
      1 Arkie Whiteley
      1 Arlen Dean Snyder
      1 Arlene Arbus
      1 Arlene Farber
      1 Arlene Francis
      1 Arlene McQuade
      1 Arletta Duncan
      1 Arletta Emery
      1 Arline judge
      1 Armande Assante
      1 Armand Guibert
      1 Armando Araiza
      1 Armando Boffilde Pirovano
      1 Armando Brancia
      1 Armando Silvestre
      1 Armida
      1 Armin Block
      1 Armin Mueller Stahl
      1 Armin Stahl
      1 Arnaud Giovaninetti
      1 Arne Olson
      1 Arne Sucksdorff
      1 Arnie McEnroe
      1 Arno Juerging
      1 Arnold Hess~jr.
      1 Arnold Laven
      1 Arnold Stang
      1 Arnold Vosloo
      1 Aron Eckhard
      1 Arsinee Khanjian
      1 Art Acord
      1 Art Aragon
      1 Art Baker
      1 Art Ellison
      1 Art Farmer
      1 Art Frankel
      1 Art Hindle
      1 Arthour OConnell
      1 Arthur Ashe
      1 Arthur Aylesworth
      1 Arthur Batanides
      1 Arthur Bryon
      1 Arthur Carewe
      1 Arthur Chesney
      1 Arthur Edmund Carewe
      1 Arthure treacher
      1 Arthur Godfrey
      1 Arthur Houseman
      1 Arthur Housmaan
      1 Arthur Humicutt
      1 Arthur Hunnicutt
      1 Arthur Jarett
      1 Arthur Jurado
      1 Arthur Mackley
      1 Arthur Maris
      1 Arthur Marshall
      1 Arthur Miller
      1 Arthur OCinnell
      1 Arthur Penn 
      1 Arthur Pierson
      1 Arthur Riscoe
      1 Arthur Roberts
      1 Arthur Space
      1 Arthur Treacer
      1 Arthur White
      1 Arthur Wontner
      1 Arthur Young
      1 Artie Lang
      1 Art Millan
      1 Art Pepper
      1 Artthur Kennedy
      1 Artuhr Shield
      1 Artur Barcis
      1 Artur Franz
      1 Arturo Pirovani
      1 Artur Rubinstein
      1 Artur Shields
      1 Asha Menina
      1 Asher Metchik
      1 Ashley Cox
      1 Ashley Crow
      1 Ashley Ohara
      1 Ashlin Gere
      1 Ashok Kumar
      1 Ashot Adamian
      1 Asia  Argento
      1 Asia Viera
      1 A.Soto Rangel
      1 Assita Ouedraogo
      1 Assumpta Serna
      1 Assumpta Serra
      1 Asta Nielsen
      1 Asuka Okasaka
      1 Athena Papadimitriu
      1 Athole Fleming
      1 Athole Stewart
      1 Atom Egoyan
      1 Aud Egede Nissen
      1 Audre Meadows
      1 Audrey Fildes
      1 Audrey Meadows
      1 Audrey Young
      1 Audrie J. Neenan
      1 Augusta Ciolli
      1 August Schellenberg
      1 August Zirner
      1 Aurice Moscovich
      1 Auriol Lee
      1 Aurora Walker
      1 Aurore Clement
      1 Aurore Prieto
      1 Aurore Rauscher
      1 Austin Green
      1 Austin Stoker
      1 Austin Willis
      1 Avis Bunnage
      1 Avril Nagers
      1 Aya Takanashi
      1 Ayberk Colok
      1 Ayllene Gibbons
      1 Ayub Khan Din
      1 Azizeh Mohamadi
      1 Aziz Khabouch
      1 Babe Didrikson Zaharias
      1 Babes in Toyland
      1 Babita
      1 Baby LeRoy
      1 Baccaloni
      1 Baddy Hacken
      1 Badi Uzzama
      1 Badja Dialo
      1 Badja Djola
      1 Baird Wallace
      1 Bakary Bamba
      1 Bambi Linn
      1 Bambi Wood
      1 Barabara Allen
      1 Barabara Cupisti
      1 Barabara Parkins
      1 Barabara Stanwyk
      1 Barbara Billingsley
      1 Barbara Blaxley
      1 Barbara Bosson
      1 Barbara Bostock
      1 Barbara Brighton
      1 Barbara Carson
      1 Barbara Chilcott
      1 Barbara Cook
      1 Barbara Crampton
      1 Barbara Darrow
      1 Barbara Dennek
      1 Barbara deRossi
      1 Barbara Dobbins
      1 Barbara Ewins
      1 Barbara Feldon
      1 Barbara Ferris
      1 Barbara Greene
      1 Barbara Hendricks
      1 Barbara Hicks
      1 Barbara Howard
      1 Barbara Jeffird
      1 Barbara Kent
      1 Barbara Leigh
      1 Barbara LeighHunt
      1 Barbara Loden
      1 Barbara Murray
      1 Barbara Nicholas
      1 Barbara ONeill
      1 Barbara Payton
      1 Barbara Peckinpah
      1 Barbara Ruick
      1 Barbara Traub
      1 Barbara Valentin
      1 Barbara Weeks
      1 Barbara Werle
      1 Barbara Williams
      1 Barbara Windsor
      1 Baron deBree
      1 Barret Oliver
      1 Barrie Ingham
      1 Barrie Ingram
      1 Barry Andrews
      1 Barry Beckerman
      1 Barry Coe
      1 Barry Crocker
      1 Barry Darval
      1 Barry Dennen
      1 Barry G. Harvey
      1 Barry Humphries
      1 Barry John
      1 Barry Kelley
      1 Barry Keyy
      1 Barry Kivel
      1 Barry Kroeger
      1 Barry Levinson
      1 Barry Lynch
      1 Barry Manilow
      1 Barry Mitchell
      1 Barry Moore
      1 Barry Otto
      1 Barry Pearl
      1 Barry Robin
      1 Barry Tavenier
      1 Barton Heyman
      1 Barton Maclane 
      1 Barton McLaine
      1 Basia Frydman
      1 Basil Burton
      1 Basil Gill
      1 Basil rsthbone
      1 Basil Sydney
      1 Basil Wallace
      1 Bastian Bodenhoffer
      1 Bathazar x 
      1 Beach Dickerson
      1 Beartie Edney
      1 Beata Tyskiewicz
      1 Beatrice Arthur
      1 Beatrice Fernier
      1 Beatrice Pearson
      1 Beatrice Romand
      1 Beatrice Ronand
      1 Beatrice Varley
      1 Beatrice Winden
      1 Beau Jocque
      1 Bebe Neuwith
      1 Beccky Lee Meza
      1 Beck Gonzales
      1 Bela Both
      1 Belinda J. Montgomery
      1 Belinda Lee
      1 Bella Lehczky
      1 Bella Riza
      1 Belle Bennett
      1 Belle Chrystal
      1 Bel Lyon
      1 Bembol Rocco
      1 Ben Asta
      1 Ben Becher
      1 Ben Becker
      1 Ben Cooper
      1 Bendan Fraser 
      1 Benedicte Loyen
      1 Ben Frank
      1 Ben Gazarra
      1 Ben Gazzarra
      1 Bengt Ekerod
      1 Ben Hammer
      1 Ben Hendricks~jr
      1 Benicias Oliveira
      1 Benjamin Bottoms
      1 Benjamin Mouton
      1 Ben Keyworth
      1 Ben Lang
      1 Ben Mag
      1 Ben Masters
      1 Ben Model
      1 Bennie Bartlett
      1 Bennie Goodman
      1 Benny Carter
      1 Benny Fields
      1 Benny McInery 
      1 Benny Rubin
      1 Benny Wills
      1 Benoit Ferreux
      1 Benoit Poolvoorde
      1 Ben Piazza
      1 Ben Schenkman
      1 Benson Fong
      1 Ben Soutten
      1 Benton Churchill
      1 Ben Turbett
      1 Ben Underwood
      1 Ben Welden
      1 Ben Weldon
      1 Berhard Wicki
      1 Bernadette Giraurd
      1 Bernadette LaFont
      1 Bernadette OFarrell
      1 Bernard Braden
      1 Bernard Breslaw
      1 Bernard Fein
      1 Bernard Fresson
      1 Bernard Giraudeau
      1 Bernard Horsfall
      1 Bernard Hughes
      1 Bernard Kates
      1 Bernard Katz
      1 Bernard King
      1 Bernard Lecoq
      1 Bernard lee
      1 Bernard Nedell
      1 Bernard Noel
      1 BernardPierre Donnadieu
      1 Bernhard Wicki
      1 Bernice Claire
      1 Bernice Dowis
      1 Bernice Stegers
      1 Bernie Coulson
      1 Bernie Gozier
      1 Bernie Hamilton
      1 Bernie Kopell
      1 Berry Kroeger
      1 Berta Gersten
      1 Bert Carver
      1 Bertha Dominguez-D
      1 Bert Hanlon
      1 Bertice Reading
      1 Bertil Guve
      1 Bert Lahr
      1 Bert Lytell
      1 Bert Palmer
      1 Bert Parks
      1 Bert Rensen
      1 Bert Wheeler
      1 Besie Love
      1 Bessie Barrisdale
      1 Bessie Smith
      1 Beth Champion
      1 Beth Grant
      1 Beth Webber
      1 Betsy Hale
      1 Betsy Mazursky
      1 Betsy Russell
      1 Betta StJohn
      1 Betty Ann Davies
      1 Betty Balfour
      1 Betty Blythe
      1 Betty Connell
      1 Betty Garde
      1 Betty Gerritt
      1 Betty Hanford
      1 Betty Hill
      1 Betty Kennedy
      1 Betty Lou Keim
      1 Betty Lynn
      1 Betty McDowell
      1 Betty Shuurman
      1 Betty Stockfield
      1 Betty Woods
      1 Beulah Booker
      1 Beverly Adams
      1 Beverly Ballard
      1 Beverly Bane
      1 Beverly Bonner
      1 Beverly Hills
      1 Beverly Hope
      1 Beverly Murray
      1 Beverly Todd
      1 Beverly Washburn
      1 Beverly Whitney
      1 Beverly Wills
      1 Bevery DAngelo
      1 Bhilip Buruns
      1 Bholanath
      1 Bianca Trump
      1 Bibi Andersen
      1 Bibi ASndersson
      1 Bibi Osterwald
      1 Biff Manard
      1 Big Daddy Kane
      1 Big Jack Johnson
      1 Bill Baile
      1 Bill Bevan
      1 Bill Boyd
      1 Bill Bramley
      1 Bill Burrows
      1 Bill C
      1 Bill Calvert
      1 Bill Conolly
      1 Bill Dancer
      1 Bill Elliott
      1 Billes Pelletier
      1 Bill Fagerbakke
      1 Bill Finley
      1 Bill Forsythe
      1 Bill Gerber
      1 Bill Gordon
      1 Bill Gunn
      1 Bill Hawkins
      1 Bill Henderson
      1 Bill Hickman
      1 Billie Crystal
      1 Billie Dove
      1 Billie Gray
      1 Billie Holiday
      1 Billie Seward
      1 Bill Ihnen
      1 Bill Jordan
      1 Bill Kraus
      1 Bill LaValee
      1 Bill Lucking
      1 Bill Mauldin
      1 Bill McCutcheon
      1 Bill McGuire
      1 Bill MCutcheon
      1 Bill Monroe
      1 Bill Nighy
      1 Bill Owen
      1 Bill Phillips Murry
      1 Bill Slack
      1 Bill Smitrovich
      1 Bill Wallis
      1 Bill William
      1 Billy Attmore
      1 Billy Benedict
      1 Billy Chrystal
      1 Billy Connolly
      1 Billy Daniels
      1 Billy DeWolf
      1 Billy Frick
      1 Billy Graham
      1 Billy "Green" Bush
      1 Billy Green Bush
      1 Billy Hopkins
      1 Billy Idol
      1 Billy J. Mitchell
      1 Billy Mauch
      1 Billy Milton
      1 Billy Newell
      1 Billy Redden
      1 Billy Wells
      1 Billy Wilson
      1 Billy Wirth
      1 Binnie Hale
      1 Bionnie Ebsen
      1 Birgitta Andersson
      1 Birgitte Federspiel
      1 Bithe Neumann
      1 Bitty Schram
      1 Bjorn Andresen
      1 Bj\"orn Belvestam
      1 Bjorn Berglund
      1 Bj\"orn Borg
      1 Bjorn Granath
      1 Bjorn Sundquist
      1 Blain Fainman
      1 Blain Fairman
      1 Blair Marion
      1 Blaise Pascal
      1 Blanch Baker
      1 Blanche Payson
      1 Blanche Ravalec
      1 Blanch Sweet
      1 Blanke Yorks
      1 Blaze Starr
      1 Blythe Danner 
      1 Bob
      1 Bob Affleck
      1 Bob Balaban 
      1 Bobbie Burns
      1 Bobbie diCiccio
      1 Bobby Crawford
      1 Bobby deCico
      1 Bobby diCicco
      1 Bobby DiCicco
      1 Bobby Ellis
      1 Bobby Henrey
      1 Bobby Hunt
      1 Bobby Jordan
      1 Bobby Mauch
      1 Bobby Moore
      1 Bobby Porter
      1 Bobby Rydell
      1 Bobby Sherwood
      1 Bobby Troup
      1 Bobby Watson
      1 Bobcat Goldthwait
      1 Bobcat Goldwath
      1 Bob Clayton
      1 Bob Cornthwaite
      1 Bob Cresse
      1 Bob Crosby
      1 Bob Donner
      1 Bob Ebbett
      1 Bob Fosse
      1 Bob Gunton
      1 Bob Haskins
      1 Bob Karnes
      1 Bob Lujan
      1 Bob Mathias
      1 Bob Monkhouse
      1 Bob Nelson
      1 Bo Brundin
      1 Bobs Watson
      1 Bob Sweeney
      1 Bob Sweeny
      1 Bob Tessier
      1 Bob Waterfield
      1 Bob Wills
      1 Bodhi Pine Elfman
      1 Bodil Kjer
      1 Boerje Ahlsted
      1 Bo Foxworth
      1 Bogo
      1 Bogumil Kobiela
      1 Bokeem Woodbine
      1 Bolek Polivka
      1 Bole x
      1 Bonar Colleano
      1 Bong Crosby
      1 Bonnie Bartlett
      1 Bonnie Bedalla
      1 Bonnie Hurd
      1 Boozoo Chavis
      1 Bora Todorovic
      1 Brad Bird
      1 Bradford Bancroft
      1 Bradford Dilman
      1 Brad Greenquist
      1 Brad Harris
      1 Brad Hunt
      1 Brad Johnson
      1 Bradley Pierce
      1  Brad Pitt
      1 Brad Renfro
      1 Brad Rinn
      1 Brad Savage
      1 Brad Starr
      1 Brad Stoll
      1 Brad Sullivan
      1 Brad Whitford
      1 Brahim Haggiag
      1 Brain Glover
      1 Brandan Hughes
      1 Branda Vaccaro
      1 Brandon Hammon
      1 Brandon Lee
      1 Brandon Smith
      1 Brandy
      1 Branford Marsalis
      1 Branka Katic
      1 Bransby Williams
      1 Branscombe Highmond
      1 brat
      1 Breenda Sykes
      1 Brenda Bakke 
      1 Brenda Blethyn
      1 Brenda Ficker
      1 Brenda Flicker
      1 Brenda Forbes
      1 Brenda Kamino
      1 Brendan Gleesom
      1 Brendan Gleeson
      1 Brendan Sexton
      1 Brenda Swanon
      1 Brenda Vaccar
      1 Brendon Sexton
      1 Breno Mello
      1 Brent Briscoe
      1 Brent Huff
      1 Breon
      1 Bret Estes Ellis
      1 Brewster Mason
      1 Brian Austin Green
      1 Brian Avery
      1 Brian Backus
      1 Brian Beben
      1 Brian Bloom
      1 Brian Bremer
      1 Brian Cox 
      1 Brian Deacon
      1 Brian Dole Murray
      1 Brian Doyle Murray
      1 Brian G. Hutton
      1 Brian Glover
      1 Brian Hall
      1 Brian Hutton
      1 Brian Kelly
      1 Brian Kerwin
      1 Brian Libby
      1 Brian Mallon
      1 Brian McNamara
      1 Brian Murray
      1 Brian Narelle
      1 Brian ODell
      1 Brian OHalleran
      1 Brian OShaugnessy
      1 Brian Pringle
      1 Brian Reddy
      1 Brian Robbins
